building_type,elemental_code,code_name,category,cost_per_sf_low,cost_per_sf_avg,cost_per_sf_high,mult_procurement_cmar,mult_procurement_hard_bid,mult_procurement_design_build,mult_procurement_csp,mult_construction_concrete,mult_construction_steel,mult_construction_mass_timber,mult_construction_wood_frame,mult_stories_1,mult_stories_2,mult_stories_3,mult_stories_4
Middle,B30,Structural Frame,Shell,24.20,30.80,38.50,0.900,1.100,1.000,1.050,0.800,1.000,1.400,0.700,1.000,1.100,1.200,1.300
Middle,B40,Structural Specialties,Shell,3.30,4.40,5.50,0.900,1.100,1.000,1.050,1.000,1.000,1.100,0.950,1.000,1.020,1.040,1.060
Middle,C10,Exterior Walls,Enclosure,27.50,35.20,44.00,0.900,1.100,1.000,1.050,0.950,1.000,1.150,0.900,1.000,1.030,1.060,1.090
Middle,C20,Exterior Windows,Enclosure,13.20,17.60,22.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.020,1.040,1.060
Middle,C30,Exterior Doors,Enclosure,4.40,6.60,8.80,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Middle,C40,Roofing,Enclosure,11.00,15.40,19.80,0.900,1.100,1.000,1.050,1.000,1.000,1.050,0.950,1.000,1.000,1.000,1.000
Middle,C50,Exterior Specialties,Enclosure,2.20,3.30,4.40,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Middle,D10,Interior Partitions,Interiors,8.80,13.20,17.60,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.020,1.040,1.060
Middle,D20,Interior Doors,Interiors,5.50,7.70,9.90,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.020,1.040,1.060
Middle,D30,Fittings & Specialties,Interiors,6.60,8.80,11.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Middle,D40,Stairs,Interiors,4.40,6.60,8.80,0.900,1.100,1.000,1.050,0.950,1.000,1.100,0.900,1.000,1.150,1.300,1.450
Middle,D50,Finishes,Interiors,16.50,22.00,27.50,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Middle,E10,Plumbing,Services,13.20,17.60,22.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.050,1.100,1.150
Middle,E20,HVAC,Services,24.20,30.80,38.50,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.030,1.060,1.090
Middle,E30,Fire Protection,Services,6.60,8.80,11.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.020,1.040,1.060
Middle,E40,Electrical,Services,19.80,26.40,33.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.050,1.100,1.150
Middle,E50,Conveying Systems,Services,0.00,2.20,8.80,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.500,1.800,2.000
Middle,F10,Fixed Equipment,Equipment,4.40,6.60,11.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Middle,F20,Furnishings,Equipment,3.30,5.50,8.80,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Middle,G10,Special Construction,Site,2.20,4.40,6.60,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
